2019-09-16 18:04:28,935 INFO com.bank.AtmApplication [main] Starting AtmApplication on Bonggals-MacBook-Pro.local with PID 49337 (/Users/bonggalbaringinsiahaan/Documents/G2Academy/Proyek/Project/Program3/target/classes started by bonggalbaringinsiahaan in /Users/bonggalbaringinsiahaan/Documents/G2Academy/Proyek/Project/Program3)
2019-09-16 18:17:16,647 INFO com.bank.controller.TransferController [http-nio-8081-exec-4] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:16,679 INFO com.bank.controller.TransferController [http-nio-8081-exec-6] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:16,705 INFO com.bank.controller.TransferController [http-nio-8081-exec-7] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:16,736 INFO com.bank.controller.TransferController [http-nio-8081-exec-9] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:16,765 INFO com.bank.controller.TransferController [http-nio-8081-exec-1] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:16,794 INFO com.bank.controller.TransferController [http-nio-8081-exec-3] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:16,823 INFO com.bank.controller.TransferController [http-nio-8081-exec-5] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:16,850 INFO com.bank.controller.TransferController [http-nio-8081-exec-7] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:16,876 INFO com.bank.controller.TransferController [http-nio-8081-exec-9] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:16,903 INFO com.bank.controller.TransferController [http-nio-8081-exec-1] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:16,933 INFO com.bank.controller.TransferController [http-nio-8081-exec-3] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:16,963 INFO com.bank.controller.TransferController [http-nio-8081-exec-5] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:17,003 INFO com.bank.controller.TransferController [http-nio-8081-exec-6] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:17,042 INFO com.bank.controller.TransferController [http-nio-8081-exec-7] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:17,071 INFO com.bank.controller.TransferController [http-nio-8081-exec-9] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:17,099 INFO com.bank.controller.TransferController [http-nio-8081-exec-10] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:17,125 INFO com.bank.controller.TransferController [http-nio-8081-exec-1] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:17,153 INFO com.bank.controller.TransferController [http-nio-8081-exec-3] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:17,180 INFO com.bank.controller.TransferController [http-nio-8081-exec-5] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:17,211 INFO com.bank.controller.TransferController [http-nio-8081-exec-7] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:17,239 INFO com.bank.controller.TransferController [http-nio-8081-exec-8] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:17,266 INFO com.bank.controller.TransferController [http-nio-8081-exec-9] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:17,296 INFO com.bank.controller.TransferController [http-nio-8081-exec-1] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:17,321 INFO com.bank.controller.TransferController [http-nio-8081-exec-2] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:17,348 INFO com.bank.controller.TransferController [http-nio-8081-exec-4] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:17,381 INFO com.bank.controller.TransferController [http-nio-8081-exec-6] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:17,410 INFO com.bank.controller.TransferController [http-nio-8081-exec-8] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:17,438 INFO com.bank.controller.TransferController [http-nio-8081-exec-9] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:17,465 INFO com.bank.controller.TransferController [http-nio-8081-exec-10] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:17,502 INFO com.bank.controller.TransferController [http-nio-8081-exec-2] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:17,534 INFO com.bank.controller.TransferController [http-nio-8081-exec-3] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:17,565 INFO com.bank.controller.TransferController [http-nio-8081-exec-4] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:17,594 INFO com.bank.controller.TransferController [http-nio-8081-exec-6] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:17,627 INFO com.bank.controller.TransferController [http-nio-8081-exec-8] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:17,655 INFO com.bank.controller.TransferController [http-nio-8081-exec-9] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:17,680 INFO com.bank.controller.TransferController [http-nio-8081-exec-1] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:17,706 INFO com.bank.controller.TransferController [http-nio-8081-exec-3] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:17,736 INFO com.bank.controller.TransferController [http-nio-8081-exec-4] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:17,783 INFO com.bank.controller.TransferController [http-nio-8081-exec-5] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:17,834 INFO com.bank.controller.TransferController [http-nio-8081-exec-6] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:17,871 INFO com.bank.controller.TransferController [http-nio-8081-exec-8] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:17,902 INFO com.bank.controller.TransferController [http-nio-8081-exec-10] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:17,930 INFO com.bank.controller.TransferController [http-nio-8081-exec-1] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:17,964 INFO com.bank.controller.TransferController [http-nio-8081-exec-3] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:18,004 INFO com.bank.controller.TransferController [http-nio-8081-exec-4] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:18,046 INFO com.bank.controller.TransferController [http-nio-8081-exec-6] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:18,077 INFO com.bank.controller.TransferController [http-nio-8081-exec-8] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:18,105 INFO com.bank.controller.TransferController [http-nio-8081-exec-10] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:18,140 INFO com.bank.controller.TransferController [http-nio-8081-exec-2] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:18,182 INFO com.bank.controller.TransferController [http-nio-8081-exec-4] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:18,237 INFO com.bank.controller.TransferController [http-nio-8081-exec-6] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:18,285 INFO com.bank.controller.TransferController [http-nio-8081-exec-7] Receive transfer inquiry from account '1', amount: '13001'
